V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Haliangium	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1
Hydrogenophaga	1	0	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0
IMCC26134	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0
Ideonella	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
Klebsiella	26	35	29	25	18	24	17	21	29	15	22	22	33	21	22	16	19	19	19	18	19	20	17	19	16	21	21	22	26	18	21	22	28	19	22	24	14	26	20	22	19	24	23	19	18	19	25	16	16	20	16	20	29	21	20	17	24	32	20	12	15	17	16	22	17	20	21	16	26	25	24	21	21	26	22	22	20	18	25	22	32	15	15	16	24	25	28	23	23	19	28	35	25	15	21	23	21	16	20	19
Kluyvera	2	0	2	1	1	1	2	2	2	3	3	2	0	1	3	0	1	3	3	1	1	1	2	0	2	2	2	1	1	0	1	2	3	2	2	3	1	3	2	2	2	4	3	5	0	5	3	0	1	1	4	1	2	4	3	1	1	3	1	2	1	1	2	0	2	3	6	4	1	1	1	1	3	2	5	2	0	3	2	1	1	0	1	6	0	4	2	3	0	2	1	1	1	1	3	2	1	2	0	2
Kosakonia	9	5	11	6	3	5	4	3	6	8	6	8	10	6	6	5	6	7	5	9	6	4	4	4	3	2	4	4	7	7	7	5	3	5	5	7	5	10	10	6	6	4	7	2	7	9	7	4	7	4	7	8	6	6	7	6	4	4	4	6	7	6	1	13	4	6	3	7	5	6	4	4	10	4	8	3	5	4	9	5	6	5	5	9	7	9	10	8	5	9	5	6	7	7	6	5	4	8	6	5
Kurthia	2	0	2	2	0	3	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	2	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	1
Lactobacillus	1704	1625	1693	1631	1676	1666	1679	1687	1663	1643	1687	1686	1734	1631	1710	1713	1711	1718	1718	1780	1696	1641	1674	1688	1693	1688	1673	1632	1669	1660	1720	1582	1637	1689	1720	1664	1731	1762	1674	1713	1648	1698	1682	1663	1603	1690	1650	1687	1786	1609	1657	1664	1724	1675	1672	1719	1717	1642	1649	1663	1669	1737	1703	1660	1636	1699	1684	1611	1662	1724	1665	1707	1648	1625	1700	1690	1593	1745	1697	1649	1689	1797	1639	1627	1695	1627	1641	1697	1681	1654	1652	1657	1636	1735	1683	1762	1692	1593	1653	1651
Lacunisphaera	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Legionella	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lelliottia	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	2	0	0	0	1	0	0	2	0
Limnohabitans	25	29	20	23	31	28	27	11	25	15	24	20	21	19	33	30	25	28	24	23	37	28	22	32	17	16	26	27	28	23	31	28	27	26	25	17	21	25	31	31	31	27	19	20	24	14	21	22	24	19	22	40	17	21	25	25	15	20	22	24	24	21	26	24	15	18	22	28	26	20	16	16	24	20	18	19	15	24	19	28	25	18	29	27	18	23	25	19	29	20	26	20	28	22	19	23	31	26	26	21
