	9.1	9.2	8	7	6	5	4	P	3	2	1	N
CAG-352	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	3.0	0.0
CAG-56	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	2.0	0.0
CI75cm.2.12	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CK06-06-Mud-MAS4B-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
CL500-29 marine group	3.0	0.0	174.0	13.0	0.0	12.0	24.0	0.0	16.0	122.0	16.0	0.0
CL500-3	1.0	0.0	12.0	71.0	0.0	2.0	0.0	0.0	2.0	3.0	0.0	0.0
CM1G08	6.0	2.0	21.0	47.0	0.0	71.0	99.0	0.0	37.0	177.0	20.0	0.0
Caedibacter	0.0	0.0	5.0	31.0	0.0	0.0	3.0	0.0	0.0	1.0	2.0	0.0
Caenimonas	10.0	10.0	624.0	57.0	0.0	73.0	79.0	0.0	43.0	261.0	34.0	0.0
Caldicoprobacter	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caldisericum	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caldithrix	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Calorithrix	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Calothrix KVSF5	0.0	0.0	2.0	0.0	0.0	10.0	1.0	0.0	2.0	0.0	2.0	0.0
Calothrix PCC-6303	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Camelimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Campylobacter	0.0	0.0	3.0	0.0	0.0	13.0	11.0	0.0	9.0	0.0	7.0	0.0
Candidatus Accumulibacter	11.0	7.0	265.0	1490.0	0.0	87.0	79.0	0.0	62.0	347.0	98.0	0.0
Candidatus Alysiosphaera	0.0	1.0	156.0	38.0	0.0	2.0	2.0	0.0	0.0	58.0	0.0	0.0
Candidatus Amoebophilus	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Candidatus Anammoximicrobium	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
Candidatus Aquiluna	0.0	1.0	7.0	17.0	0.0	4.0	2.0	0.0	12.0	15.0	3.0	0.0
Candidatus Aquirestis	7.0	2.0	52.0	85.0	1.0	120.0	56.0	0.0	92.0	54.0	132.0	0.0
Candidatus Bealeia	1.0	0.0	17.0	29.0	0.0	0.0	0.0	0.0	3.0	3.0	2.0	0.0
Candidatus Berkiella	1.0	0.0	16.0	210.0	0.0	6.0	9.0	0.0	2.0	13.0	11.0	0.0
Candidatus Captivus	0.0	0.0	5.0	30.0	0.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0
Candidatus Cloacimonas	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Candidatus Competibacter	0.0	0.0	23.0	265.0	0.0	4.0	18.0	0.0	1.0	42.0	0.0	0.0
Candidatus Cryptoprodotis	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Curculioniphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Candidatus Endobugula	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Endoecteinascidia	0.0	0.0	19.0	246.0	1.0	5.0	15.0	0.0	10.0	10.0	9.0	0.0
Candidatus Endomicrobium	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	5.0	13.0	1.0	0.0
Candidatus Endonucleariobacter	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Finniella	0.0	0.0	5.0	29.0	0.0	1.0	5.0	0.0	5.0	3.0	1.0	0.0
Candidatus Flaviluna	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Candidatus Gortzia	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Jidaibacter	0.0	0.0	1.0	8.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Lariskella	0.0	0.0	0.0	1.0	0.0	4.0	1.0	0.0	1.0	0.0	0.0	0.0
