	9.1	9.2	8	7	6	5	4	P	3	2	1	N
Cyclobacteriaceae	2.0	0.0	56.0	140.0	1.0	104.0	125.0	0.0	173.0	69.0	117.0	0.0
Cytophagaceae	1.0	1.0	16.0	24.0	0.0	43.0	39.0	1.0	61.0	49.0	59.0	0.0
D05-2	0.0	0.0	1.0	31.0	0.0	0.0	1.0	0.0	0.0	23.0	0.0	0.0
DEV007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0
Deferribacteraceae	0.0	0.0	1.0	3.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	0.0
Defluviitaleaceae	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	2.0	4.0	0.0	0.0
Deinococcaceae	1.0	1.0	57.0	1.0	0.0	0.0	1.0	0.0	2.0	12.0	1.0	0.0
Demequinaceae	0.0	0.0	4.0	1.0	0.0	0.0	2.0	0.0	5.0	9.0	1.0	0.0
Dermatophilaceae	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfarculaceae	4.0	1.0	28.0	304.0	1.0	30.0	25.0	2.0	1.0	114.0	1.0	0.0
Desulfobacteraceae	2.0	1.0	49.0	110.0	0.0	24.0	26.0	0.0	11.0	80.0	5.0	0.0
Desulfobulbaceae	1.0	0.0	20.0	62.0	0.0	22.0	15.0	0.0	5.0	55.0	0.0	0.0
Desulfohalobiaceae	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfomicrobiaceae	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Desulfovibrionaceae	1.0	0.0	8.0	37.0	0.0	1.0	2.0	2.0	1.0	21.0	5.0	0.0
Desulfuromonadaceae	1.0	0.0	14.0	209.0	0.0	21.0	20.0	0.0	6.0	32.0	5.0	0.0
Devosiaceae	10.0	4.0	386.0	1836.0	3.0	69.0	198.0	1.0	100.0	652.0	57.0	0.0
Dietziaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Diplorickettsiaceae	33.0	7.0	669.0	4283.0	2.0	174.0	455.0	0.0	256.0	831.0	368.0	1.0
Dongiaceae	0.0	0.0	44.0	220.0	0.0	10.0	9.0	0.0	8.0	46.0	3.0	0.0
