	1-April_genus.tsv	1-August_genus.tsv	1-June_genus.tsv	2-April_genus.tsv	2-August_genus.tsv	3-April_genus.tsv	4-April_genus.tsv	4-August_genus.tsv	5-April_genus.tsv	5-August_genus.tsv	6-August_genus.tsv	6-June_genus.tsv	7-April_genus.tsv	8-April_genus.tsv	9.1-August_genus.tsv	Mock-April_genus.tsv	Mock-August_genus.tsv	Mock-June_genus.tsv
Collimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Comamonas	22.0	56.0	57.0	106.0	41.0	24.0	57.0	39.0	53.0	37.0	33.0	9.0	29.0	107.0	33.0	0.0	0.0	0.0
Conexibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Confluentibacter	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coprococcus 1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0
Coprococcus 2	10.0	0.0	0.0	14.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
Coprococcus 3	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	8.0	0.0	0.0	0.0	0.0
Coraliomargarita	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coxiella	4.0	4.0	3.0	5.0	3.0	2.0	5.0	10.0	4.0	4.0	6.0	2.0	63.0	11.0	9.0	0.0	0.0	0.0
Crassaminicella	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Crenobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Crenothrix	0.0	0.0	0.0	2.0	0.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0
Crocinitomix	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cronobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	0.0
Cryptanaerobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cupriavidus	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Curvibacter	24.0	49.0	39.0	34.0	47.0	22.0	24.0	79.0	30.0	72.0	53.0	46.0	12.0	39.0	19.0	0.0	0.0	0.0
Cyanobium PCC-6307	0.0	0.0	0.0	0.0	0.0	2.0	0.0	10.0	3.0	11.0	20.0	0.0	0.0	1.0	148.0	0.0	0.0	0.0
Cylindrospermum CENA33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cytophaga	13.0	1.0	0.0	4.0	5.0	17.0	7.0	14.0	10.0	3.0	0.0	0.0	5.0	1.0	1.0	0.0	0.0	0.0
DMER64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
DSSD61	1.0	0.0	0.0	6.0	0.0	0.0	0.0	4.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dechlorobacter	0.0	2.0	3.0	0.0	8.0	0.0	0.0	11.0	0.0	5.0	4.0	0.0	6.0	4.0	0.0	0.0	0.0	0.0
Dechloromonas	57.0	22.0	35.0	65.0	14.0	32.0	31.0	37.0	53.0	33.0	24.0	8.0	693.0	985.0	9.0	0.0	0.0	0.0
Dechlorosoma	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0
Deefgea	6.0	4.0	9.0	14.0	12.0	8.0	23.0	45.0	14.0	17.0	23.0	0.0	182.0	4.0	2.0	0.0	0.0	0.0
