	9.1	9.2	8	7	6	5	4	P	3	2	1	N
Dermacoccaceae	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfarculaceae	16.0	1.0	0.0	0.0	65.0	46.0	43.0	0.0	0.0	3.0	35.0	0.0
Desulfobacteraceae	5.0	0.0	0.0	0.0	35.0	57.0	79.0	2.0	0.0	5.0	38.0	2.0
Desulfobulbaceae	1.0	0.0	0.0	0.0	16.0	12.0	28.0	0.0	0.0	1.0	12.0	0.0
Desulfomicrobiaceae	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Desulfovibrionaceae	2.0	0.0	0.0	0.0	13.0	14.0	67.0	0.0	0.0	0.0	9.0	0.0
Desulfuromonadaceae	2.0	0.0	0.0	0.0	14.0	35.0	40.0	0.0	0.0	2.0	29.0	0.0
Devosiaceae	163.0	17.0	0.0	1.0	458.0	304.0	1048.0	7.0	0.0	226.0	384.0	0.0
Dictyoglomaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Dietziaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
Diplorickettsiaceae	319.0	43.0	0.0	3.0	6268.0	7072.0	10676.0	77.0	0.0	507.0	6702.0	512.0
Dongiaceae	2.0	1.0	0.0	0.0	31.0	19.0	66.0	1.0	0.0	31.0	15.0	0.0
Dysgonomonadaceae	1.0	0.0	0.0	0.0	7.0	10.0	4.0	0.0	0.0	5.0	22.0	1.0
EF100-94H03	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ectothiorhodospiraceae	0.0	0.0	0.0	0.0	2.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0
Eggerthellaceae	0.0	0.0	0.0	0.0	1.0	0.0	14.0	1.0	0.0	0.0	1.0	0.0
Elsteraceae	3.0	0.0	0.0	0.0	3.0	8.0	131.0	0.0	0.0	2.0	12.0	0.0
Endomicrobiaceae	3.0	0.0	0.0	0.0	3.0	9.0	0.0	0.0	0.0	0.0	4.0	0.0
Enterobacteriaceae	316.0	54.0	6.0	8.0	754.0	505.0	3299.0	1020761.0	58.0	243.0	4149.0	568.0
Enterococcaceae	22.0	8.0	1.0	1.0	99.0	76.0	140.0	78156.0	1.0	5.0	76.0	0.0
Entomoplasmataceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Entotheonellaceae	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	1.0	0.0
