	megablast	blastn	qiime_blastn	qiime_sklearn	mapseq	centrifuge	kraken2	minimap2(12)	mothur(6)	idtaxa	rdp	sintax	spingo(8)	gt
3449ba8a-f6c7-4221-b9a9-a9136b482d50	Staphylococcaceae	Staphylococcaceae	Dikarya	Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
345158eb-2c4d-48c4-a78e-dea1b7e0eeba	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
3459b07d-3825-4b7a-a2b7-e06f4191fcb6	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
34601231-581d-4f16-80a6-de13c9786949	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
3461d987-ec6d-4ba6-ba97-1e1ee6e5fec5	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
34639092-7f24-423b-9c7a-726da55b75b2	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
3463c6df-b96b-462d-b91e-2fdef3fd439e	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
346524f9-961e-4a5f-8232-c33fda2ee861	Bacillaceae	Bacillaceae	Dikarya	Dikarya	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
346b8189-c830-4f3f-b8b1-82a68daa44ac	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
346d99c4-e609-4f63-be92-e6967b50cd2e	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
34703a6f-7bed-42b7-bc54-2b0b889815eb	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
347790be-e112-49a4-a352-7b05d9a3d6ef	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
347852f3-7cab-4645-89cd-2655e891e2a7	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Bacillaceae	Bacillaceae	Listeriaceae		Listeriaceae	Bacillaceae	Listeriaceae	Listeriaceae	Listeriaceae
34792361-1462-47a7-bbad-eec779e774de	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
347ce460-c2e4-4f55-98c2-d31d1166bd92	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Staphylococcaceae	Bacillaceae	Listeriaceae		Listeriaceae	Carnobacteriaceae	Listeriaceae	Listeriaceae	Listeriaceae
347f4b87-dea2-44d3-94ea-f3bab771c224	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
3480e99a-6cdf-4839-a8f5-a287af0051a5	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
3482dd18-6e46-47d7-8868-6e45b4bb98d0	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
348459fc-30e6-41ba-adcd-ab13478a1025	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
3485484a-129e-4ec5-9268-6682def80695	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
348632d2-77b0-4114-be54-66d27955b5d1	Staphylococcaceae	Staphylococcaceae	Dikarya	Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
348af43b-f19a-4528-b9f6-97525a5e048a	Staphylococcaceae	Staphylococcaceae	Dikarya	Dikarya	Staphylococcaceae	Staphylococcaceae	Bacillaceae	Staphylococcaceae		Staphylococcaceae	Bacillaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
348f2f97-3315-4c74-aab4-02af453a0fae	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
3494fa67-6625-49eb-addd-559f6b65ff0c	Pseudomonadaceae	Pseudomonadaceae	Pseudomonadaceae	Pseudomonadaceae	Pseudomonadaceae	Pseudomonadaceae	Pseudomonadaceae	Pseudomonadaceae	Pseudomonadaceae	Pseudomonadaceae	Pseudomonadaceae	Pseudomonadaceae	Pseudomonadaceae	Pseudomonadaceae
349fde68-dea0-472c-8db1-2ed0a3f52d82	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
34a92cce-a8d2-42b1-b963-440fc10e93ac	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
34ae9b62-4881-4b37-b092-0ca425edfba1	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Bacillaceae	Enterococcaceae		Enterococcaceae	Carnobacteriaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae
34b13189-ff85-48cf-854c-504b48f7044f	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae		Lactobacillaceae	Bacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae
34b2c9d2-c48a-4d5d-bc42-02edfa8e984e	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
34b9cdd9-a31c-4669-9b4d-d57b33d87552	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
34c12a8c-c6e3-4367-a5a5-75e621e09de7	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
34c16b44-b2fd-4912-a48a-a346e8938475	Enterobacteriaceae		Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
34cfc6e1-7cb4-471e-b2bd-eb048d3564b0	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
34d0ced3-6ed4-40cb-bbaf-f5a38653d74c	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
34d5e4bd-88de-4296-bafb-ba63ee525c18	Enterobacteriaceae		Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
34d80591-c7c3-4876-9974-f425d375d50c	Bacillaceae	Bacillaceae	Dikarya	Dikarya	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Listeriaceae	Bacillaceae	Sporolactobacillaceae	Bacillaceae	Bacillaceae
34e2812a-d86c-4f08-967c-0aed950b9cb7	Bacillaceae	Bacillaceae	Dikarya	Dikarya	Bacillaceae	Listeriaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
34e90c52-d0ea-4221-8a2d-3864141ac7b1	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
34e9c7c4-2243-484e-85e8-290b7ab6a400	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
34eb5d60-249e-4e02-a7b8-6e6a8381a2f3	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae		Bacillaceae	Enterococcaceae		Enterococcaceae	Carnobacteriaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae
34f6441d-5195-490d-9d57-089cfed7bc60	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae		Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae
34f9095b-525a-43cb-bdf1-af6c767a0a61	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
34feb9b7-807b-4690-b0a2-d76c4e86739f	Bacillaceae	Family XII			Enterobacteriaceae	Enterobacteriaceae	Bacillaceae	Enterobacteriaceae		Bacillaceae	Bacillaceae	Enterobacteriaceae	Bacillaceae	Bacillaceae
350b0100-2a4f-44c2-b67e-f17e043cfa03	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Enterobacteriaceae		Staphylococcaceae	Enterobacteriaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
3511de43-6d5f-475c-afa3-182c056aff27	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Bacillaceae	Listeriaceae	Listeriaceae	Listeriaceae	Carnobacteriaceae	Listeriaceae	Listeriaceae	Listeriaceae
3518cba1-c3ed-4e92-99ab-fdfb0e47c5c4	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Pasteurellaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
351b31f1-90e5-4556-8377-0f95dd01220b	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
351c9d46-d78b-4adf-b7ea-fed5c49d3181	Enterobacteriaceae	Enterobacteriaceae	Dikarya	Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
352849b3-0772-4ae9-a535-7c9eb38c7537	Staphylococcaceae	Staphylococcaceae	Dikarya	Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
352f5080-caab-48fb-b46f-e7ee3f15a98c	Staphylococcaceae		Dikarya	Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
3533e096-8436-4200-b784-86fe01f2dea0	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
353553ed-4177-40e7-bdd4-6b16a899f0f9	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
3535e626-85df-420f-82cc-b57af81a5983	Enterobacteriaceae		Dikarya	Dikarya	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
