	megablast	blastn	qiime_blastn	qiime_sklearn	mapseq	centrifuge	kraken2	minimap2(12)	mothur(6)	idtaxa	rdp	sintax	spingo(8)	gt
e2f57b0d-0edc-4c3e-bf54-1fce8064eea1	Bacillaceae			Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
e2f63732-5e43-44cb-8f80-b900eaa7ff94	Bacillaceae	Bacillaceae		Dikarya	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
e2f7f362-31da-4188-beb0-5af68d5ecddf	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e2fa558a-c3c6-4bae-af8f-9f0c0bbfa02c			Bacillaceae											
e2fcb93d-1ed8-477a-8b22-406de45c035b	Enterococcaceae	Enterococcaceae		Dikarya	Enterococcaceae	Pseudomonadaceae	Enterococcaceae	Enterococcaceae		Enterococcaceae	Carnobacteriaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae
e3084160-e40a-4c9c-a8d0-62b8d9f92c40			Dikarya											
e309b050-8f5b-4701-9459-c8ea4fd003a8	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e30c267c-9696-44ce-9b85-98193b428adf			Dikarya											
e30d4fe0-2852-4b9d-8d1a-5a2fe1d1e179	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e3131143-bf12-4e6e-994a-3b07c6650695	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e31b9418-66ae-4842-a49a-29b06d2ab67b	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
