	megablast	blastn	qiime_blastn	qiime_sklearn	mapseq	centrifuge	kraken2	minimap2(12)	mothur(6)	idtaxa	rdp	sintax	spingo(8)	gt
f8a27cc0-1037-403e-a6bb-714f505cf52a	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f8a721b2-9762-47e8-9c8e-e520833c43df			Enterobacteriaceae											
f8aae7cd-d1e7-49a6-bbd1-8af4bd413d6a	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f8ac58eb-f8df-4886-8762-2fa0346acadd	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f8ad9ae3-9d14-4c51-83eb-9dff31529b7d	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f8adfad7-3751-4d0d-a850-f056ae60a0b8	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f8b28adc-3ab9-4777-87bd-c3986d44d111			Enterococcaceae											
f8b59eb2-a0c5-4f97-b0d6-142d39b92921	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f8b9ae9d-5ba2-4aad-808b-9261a6f4d251			Enterobacteriaceae											
f8bacfa9-3a04-49d2-88c5-96d6c4fda188			Dikarya											
f8bdaad5-cdf1-441f-b612-10803bab67ad			Enterobacteriaceae											
f8bdae21-04d9-49d4-b922-c89c2151dbd2	Pseudomonadaceae	Pseudomonadaceae		Dikarya	Pseudomonadaceae	Pseudomonadaceae	Enterobacteriaceae	Pseudomonadaceae		Enterobacteriaceae	Enterobacteriaceae	Pseudomonadaceae	Pseudomonadaceae	Pseudomonadaceae
f8be2a8e-6fb6-406d-8c6d-cc8ea92c2fb6			Dikarya											
f8bfd41e-09aa-43b4-b0b3-55975ac41d01			Dikarya											
f8c307ec-699c-4a56-baa8-2df9902fae95	Lactobacillaceae	Lactobacillaceae		Lactobacillaceae	Lactobacillaceae		Lactobacillaceae	Lactobacillaceae		Lactobacillaceae	Carnobacteriaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae
f8d9473a-8adf-4b0c-af9e-a2e7bf235df4			Enterobacteriaceae											
f8de6b5e-007a-402d-8608-4f6c421cd3c9			Bacillaceae											
f8de8d11-c6ef-447e-9b58-880db1add7e3			Dikarya											
f8e8c409-2006-4a08-855d-2cc3931ff0af			Bacillaceae											
f8efab47-4fdc-4c15-9997-15a328a46034			Dikarya											
f8f65202-ad5b-4343-82d6-8608f08f25ea	Staphylococcaceae			Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
f8f722da-0cb1-4e7d-a6de-8a3772c2ea1f	Lactobacillaceae	Lactobacillaceae		Dikarya	Lactobacillaceae		Lactobacillaceae	Lactobacillaceae		Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae
f8fc7b2d-e45d-4efc-bb58-109ce800b441	Enterococcaceae	Enterococcaceae		Dikarya	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae		Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae
f902a278-8349-47de-9340-7525f9fd4805			Dikarya											
f907341b-dffd-497a-9f38-957d135ada8f	Bacillaceae	Bacillaceae		Bacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Bacillaceae	Lactobacillaceae	Bacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae
f907bd8a-df29-41a5-9180-479deea7cc3d			Staphylococcaceae											
f90ae4cd-1e5a-4062-b647-cf1bc90ebbd0			Dikarya											
f90c9aa5-23a1-4ca4-96dd-c806cc57eddf	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f916696c-ccbb-4a11-88fc-d887622e80ce	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f919bfd4-08b3-4b29-b71b-68501afef8dd			Enterobacteriaceae											
f91a29f8-6473-4d5f-bcbe-13a101fe726c			Enterobacteriaceae											
f91aaa80-6c96-42cd-9824-b0820a64a6a1			Bacillaceae											
f91ebbf5-c588-4104-b22c-0fa574cf4a68	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f9219692-f587-47f9-8af7-319d77bd80eb			Enterococcaceae											
f9248e70-47a1-4102-ac46-22c2064017c4			Enterobacteriaceae											
f924f1d1-166f-4123-988f-bdf28ac67cb5	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f92542b4-3ac9-4f60-a09d-429116c95bde			Dikarya											
f9254332-ac71-4b0e-8570-17209193adb1			Dikarya											
f928d7e7-1cef-47c8-9bf9-6688c5b6f89c			Dikarya											
f929275f-02fe-48c5-8c80-8ad16886e447	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f92a8d92-1934-49b7-ba43-c64b168d0b25			Dikarya											
f92b0787-67f7-4732-a921-fdbfb647ee24			Dikarya											
f92b9a00-aebd-4d9c-b337-9c69b2674eb6			Dikarya											
f92ce07c-95ad-44f9-bbe7-32398e0b07a2	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f92e842a-a60a-49d2-8977-ae04d4e2e24f	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f92fc32a-5f7b-4d1d-a573-3978fc2ee05a			Dikarya											
f933b70f-1272-44f7-aee3-291ea7062dd8			Dikarya											
f93529dc-c434-4db1-a54e-edc6bfb2dac6			Dikarya											
f935c1c1-1508-4966-818a-8c0887f6239d	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f93aaec0-8619-449c-977f-7eb771be2205	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f93d1996-e814-4769-a972-1a7217c81846	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f93d6d86-7a91-4d4e-81b0-94338b0c59b0			Enterobacteriaceae											
f9405f71-94f3-4429-a172-8e32f4dca32d			Dikarya											
f94287fe-af6a-4726-a984-d8554de8f716	Staphylococcaceae			Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
f942bb3f-482c-4815-bcab-229d7a245504	Listeriaceae	Listeriaceae		Dikarya	Listeriaceae	Listeriaceae	Bacillaceae	Listeriaceae		Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae
f9494175-aeb1-42cd-b8d5-975b5c30b1a1			Dikarya											
f94e427f-43a6-49d4-9841-84ab562708b8	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f9503789-b1c1-45ad-81a4-a2a23ee896d7			Dikarya											
f95273e5-b258-4244-9c4d-4c9392d8acd5			Enterobacteriaceae											
f9529f94-dda9-4108-a95d-9afe5c7a12f0			Enterobacteriaceae											
f955d06b-70e4-47e8-9c72-8de937471cf6			Dikarya											
f956adc9-d828-4ca0-9724-e08359ef8cdc	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f95b71a7-715d-433a-af48-850a66f73153	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Staphylococcaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
