	1-April_family.tsv	1-August_family.tsv	1-June_family.tsv	2-April_family.tsv	2-August_family.tsv	3-April_family.tsv	4-April_family.tsv	4-August_family.tsv	5-April_family.tsv	5-August_family.tsv	6-August_family.tsv	6-June_family.tsv	7-April_family.tsv	8-April_family.tsv	9.1-August_family.tsv	9.2-August_family.tsv	N-August_family.tsv	P-April_family.tsv	P-August_family.tsv	P-June_family.tsv
Nitrosomonadaceae	40.0	56.0	64.0	162.0	42.0	31.0	54.0	87.0	58.0	63.0	59.0	41.0	79.0	148.0	20.0	20.0	14.0	1.0	1.0	0.0
Nitrospinaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nitrospiraceae	9.0	6.0	10.0	26.0	17.0	4.0	18.0	26.0	33.0	9.0	10.0	3.0	161.0	470.0	7.0	10.0	0.0	0.0	1.0	0.0
Nocardiaceae	0.0	2.0	7.0	4.0	11.0	1.0	1.0	5.0	0.0	3.0	1.0	0.0	1.0	5.0	9.0	6.0	0.0	0.0	0.0	0.0
Nocardioidaceae	0.0	5.0	8.0	7.0	3.0	0.0	4.0	3.0	1.0	2.0	2.0	0.0	2.0	21.0	8.0	5.0	4.0	0.0	0.0	0.0
Nocardiopsaceae	0.0	2.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0
Nostocaceae	0.0	0.0	32.0	1.0	0.0	1.0	31.0	4.0	3.0	3.0	4.0	7.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0
OCS116 clade	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oligoflexaceae	8.0	7.0	4.0	5.0	18.0	22.0	12.0	24.0	11.0	13.0	14.0	6.0	166.0	5.0	5.0	8.0	0.0	0.0	0.0	0.0
Oligosphaeraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Omnitrophaceae	4.0	5.0	6.0	9.0	6.0	16.0	14.0	14.0	29.0	11.0	15.0	16.0	7.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0
Opitutaceae	45.0	51.0	123.0	152.0	36.0	115.0	120.0	429.0	194.0	391.0	247.0	278.0	348.0	43.0	92.0	76.0	32.0	0.0	2.0	0.0
Oscillatoriaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P3OB-42	1.0	1.0	0.0	5.0	8.0	0.0	1.0	4.0	3.0	1.0	2.0	2.0	20.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
P5D1-392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PBS-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHOS-HE36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRD18C08	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PS1 clade	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Paenibacillaceae	6.0	11.0	3.0	9.0	10.0	1.0	2.0	59.0	4.0	19.0	13.0	12.0	5.0	12.0	2.0	0.0	31.0	17.0	10.0	9.0
Paludibacteraceae	12.0	2.0	0.0	7.0	3.0	9.0	2.0	2.0	6.0	4.0	0.0	0.0	2.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0
Paracaedibacteraceae	41.0	12.0	14.0	36.0	44.0	39.0	98.0	57.0	128.0	24.0	46.0	8.0	105.0	30.0	25.0	20.0	0.0	0.0	0.0	0.0
